idx,file_name,dt_s,peak_rss_kb,variant
0,2004.02.12.10.32.39,0.001463,0,baseline
4,2004.02.12.11.12.39,0.001468,0,baseline
8,2004.02.12.11.52.39,0.001369,0,baseline
12,2004.02.12.12.32.39,0.001348,0,baseline
16,2004.02.12.13.12.39,0.001677,0,baseline
20,2004.02.12.13.52.39,0.001364,0,baseline
24,2004.02.12.14.32.39,0.001460,0,baseline
28,2004.02.12.15.12.39,0.001475,0,baseline
32,2004.02.12.15.52.39,0.001459,0,baseline
36,2004.02.12.16.32.39,0.001347,0,baseline
40,2004.02.12.17.12.39,0.001333,0,baseline
44,2004.02.12.17.52.39,0.001369,0,baseline
48,2004.02.12.18.32.39,0.001329,0,baseline
52,2004.02.12.19.12.39,0.001331,0,baseline
56,2004.02.12.19.52.39,0.001315,0,baseline
60,2004.02.12.20.32.39,0.001363,0,baseline
64,2004.02.12.21.12.39,0.001374,0,baseline
68,2004.02.12.21.52.39,0.001366,0,baseline
72,2004.02.12.22.32.39,0.001663,0,baseline
76,2004.02.12.23.12.39,0.001321,0,baseline
80,2004.02.12.23.52.39,0.001350,0,baseline
84,2004.02.13.00.32.39,0.001402,0,baseline
88,2004.02.13.01.12.39,0.001310,0,baseline
92,2004.02.13.01.52.39,0.001342,0,baseline
96,2004.02.13.02.32.39,0.001414,0,baseline
100,2004.02.13.03.12.39,0.001329,0,baseline
104,2004.02.13.03.52.39,0.001382,0,baseline
108,2004.02.13.04.32.39,0.001321,0,baseline
112,2004.02.13.05.12.39,0.001361,0,baseline
116,2004.02.13.05.52.39,0.001536,0,baseline
120,2004.02.13.06.32.39,0.001342,0,baseline
124,2004.02.13.07.12.39,0.001381,0,baseline
128,2004.02.13.07.52.39,0.001312,0,baseline
132,2004.02.13.08.32.39,0.001296,0,baseline
136,2004.02.13.09.12.39,0.001319,0,baseline
140,2004.02.13.09.52.39,0.001337,0,baseline
144,2004.02.13.10.32.39,0.001308,0,baseline
148,2004.02.13.11.12.39,0.001294,0,baseline
152,2004.02.13.11.52.39,0.001329,0,baseline
156,2004.02.13.12.32.39,0.001378,0,baseline
160,2004.02.13.13.12.39,0.001370,0,baseline
164,2004.02.13.13.52.39,0.001355,0,baseline
168,2004.02.13.14.32.39,0.001675,0,baseline
172,2004.02.13.15.12.39,0.001331,0,baseline
176,2004.02.13.15.52.39,0.001326,0,baseline
180,2004.02.13.16.32.39,0.001345,0,baseline
184,2004.02.13.17.12.39,0.001317,0,baseline
188,2004.02.13.17.52.39,0.001582,0,baseline
192,2004.02.13.18.32.39,0.001303,0,baseline
196,2004.02.13.19.12.39,0.001306,0,baseline
200,2004.02.13.19.52.39,0.001329,0,baseline
204,2004.02.13.20.32.39,0.001352,0,baseline
208,2004.02.13.21.12.39,0.001316,0,baseline
212,2004.02.13.21.52.39,0.001325,0,baseline
216,2004.02.13.22.32.39,0.001357,0,baseline
220,2004.02.13.23.12.39,0.001326,0,baseline
224,2004.02.13.23.52.39,0.001377,0,baseline
228,2004.02.14.00.32.39,0.001385,0,baseline
232,2004.02.14.01.12.39,0.001374,0,baseline
236,2004.02.14.01.52.39,0.001835,0,baseline
240,2004.02.14.02.32.39,0.001349,0,baseline
244,2004.02.14.03.12.39,0.001412,0,baseline
248,2004.02.14.03.52.39,0.001309,0,baseline
252,2004.02.14.04.32.39,0.001312,0,baseline
256,2004.02.14.05.12.39,0.001356,0,baseline
260,2004.02.14.05.52.39,0.001646,0,baseline
264,2004.02.14.06.32.39,0.001356,0,baseline
268,2004.02.14.07.12.39,0.001343,0,baseline
272,2004.02.14.07.52.39,0.001310,0,baseline
276,2004.02.14.08.32.39,0.001322,0,baseline
280,2004.02.14.09.12.39,0.001369,0,baseline
284,2004.02.14.09.52.39,0.001348,0,baseline
288,2004.02.14.10.32.39,0.001309,0,baseline
292,2004.02.14.11.12.39,0.001356,0,baseline
296,2004.02.14.11.52.39,0.001489,0,baseline
300,2004.02.14.12.32.39,0.001334,0,baseline
304,2004.02.14.13.12.39,0.001378,0,baseline
308,2004.02.14.13.52.39,0.001357,0,baseline
312,2004.02.14.14.32.39,0.001364,0,baseline
316,2004.02.14.15.12.39,0.001320,0,baseline
320,2004.02.14.15.52.39,0.001441,0,baseline
324,2004.02.14.16.32.39,0.001308,0,baseline
328,2004.02.14.17.12.39,0.001304,0,baseline
332,2004.02.14.17.52.39,0.001323,0,baseline
336,2004.02.14.18.32.39,0.001341,0,baseline
340,2004.02.14.19.12.39,0.001359,0,baseline
344,2004.02.14.19.52.39,0.001358,0,baseline
348,2004.02.14.20.32.39,0.001312,0,baseline
352,2004.02.14.21.12.39,0.001428,0,baseline
356,2004.02.14.21.52.39,0.001307,0,baseline
360,2004.02.14.22.32.39,0.001613,0,baseline
364,2004.02.14.23.12.39,0.001373,0,baseline
