idx,file_name,dt_s,peak_rss_kb,variant
0,2004.02.12.10.32.39,0.003806,0,usecols
1,2004.02.12.11.12.39,0.003707,0,usecols
2,2004.02.12.11.52.39,0.003630,0,usecols
3,2004.02.12.12.32.39,0.003617,0,usecols
4,2004.02.12.13.12.39,0.003637,0,usecols
5,2004.02.12.13.52.39,0.003660,0,usecols
6,2004.02.12.14.32.39,0.003645,0,usecols
7,2004.02.12.15.12.39,0.003578,0,usecols
8,2004.02.12.15.52.39,0.003607,0,usecols
9,2004.02.12.16.32.39,0.003611,0,usecols
10,2004.02.12.17.12.39,0.003612,0,usecols
11,2004.02.12.17.52.39,0.003604,0,usecols
12,2004.02.12.18.32.39,0.003586,0,usecols
13,2004.02.12.19.12.39,0.003594,0,usecols
14,2004.02.12.19.52.39,0.003553,0,usecols
15,2004.02.12.20.32.39,0.003610,0,usecols
16,2004.02.12.21.12.39,0.003546,0,usecols
17,2004.02.12.21.52.39,0.003639,0,usecols
18,2004.02.12.22.32.39,0.003577,0,usecols
19,2004.02.12.23.12.39,0.003622,0,usecols
20,2004.02.12.23.52.39,0.003624,0,usecols
21,2004.02.13.00.32.39,0.003634,0,usecols
22,2004.02.13.01.12.39,0.003589,0,usecols
23,2004.02.13.01.52.39,0.003582,0,usecols
24,2004.02.13.02.32.39,0.003524,0,usecols
25,2004.02.13.03.12.39,0.003614,0,usecols
26,2004.02.13.03.52.39,0.003545,0,usecols
27,2004.02.13.04.32.39,0.003560,0,usecols
28,2004.02.13.05.12.39,0.003600,0,usecols
29,2004.02.13.05.52.39,0.003571,0,usecols
30,2004.02.13.06.32.39,0.003545,0,usecols
31,2004.02.13.07.12.39,0.003592,0,usecols
32,2004.02.13.07.52.39,0.003559,0,usecols
33,2004.02.13.08.32.39,0.003616,0,usecols
34,2004.02.13.09.12.39,0.003603,0,usecols
35,2004.02.13.09.52.39,0.003522,0,usecols
36,2004.02.13.10.32.39,0.003556,0,usecols
37,2004.02.13.11.12.39,0.003589,0,usecols
38,2004.02.13.11.52.39,0.003517,0,usecols
39,2004.02.13.12.32.39,0.003516,0,usecols
40,2004.02.13.13.12.39,0.003514,0,usecols
41,2004.02.13.13.52.39,0.003780,0,usecols
42,2004.02.13.14.32.39,0.003605,0,usecols
43,2004.02.13.15.12.39,0.003512,0,usecols
44,2004.02.13.15.52.39,0.003565,0,usecols
45,2004.02.13.16.32.39,0.003522,0,usecols
46,2004.02.13.17.12.39,0.003576,0,usecols
47,2004.02.13.17.52.39,0.004851,0,usecols
48,2004.02.13.18.32.39,0.003564,0,usecols
49,2004.02.13.19.12.39,0.003767,0,usecols
50,2004.02.13.19.52.39,0.003626,0,usecols
51,2004.02.13.20.32.39,0.003567,0,usecols
52,2004.02.13.21.12.39,0.005716,0,usecols
53,2004.02.13.21.52.39,0.006737,0,usecols
54,2004.02.13.22.32.39,0.006781,0,usecols
55,2004.02.13.23.12.39,0.006745,0,usecols
56,2004.02.13.23.52.39,0.006891,0,usecols
57,2004.02.14.00.32.39,0.006908,0,usecols
58,2004.02.14.01.12.39,0.006927,0,usecols
59,2004.02.14.01.52.39,0.006479,0,usecols
60,2004.02.14.02.32.39,0.006347,0,usecols
61,2004.02.14.03.12.39,0.007095,0,usecols
62,2004.02.14.03.52.39,0.006686,0,usecols
63,2004.02.14.04.32.39,0.006220,0,usecols
64,2004.02.14.05.12.39,0.006175,0,usecols
65,2004.02.14.05.52.39,0.006251,0,usecols
66,2004.02.14.06.32.39,0.006176,0,usecols
67,2004.02.14.07.12.39,0.006395,0,usecols
68,2004.02.14.07.52.39,0.006199,0,usecols
69,2004.02.14.08.32.39,0.006113,0,usecols
70,2004.02.14.09.12.39,0.006385,0,usecols
71,2004.02.14.09.52.39,0.006954,0,usecols
72,2004.02.14.10.32.39,0.006497,0,usecols
73,2004.02.14.11.12.39,0.007059,0,usecols
74,2004.02.14.11.52.39,0.007030,0,usecols
75,2004.02.14.12.32.39,0.006795,0,usecols
76,2004.02.14.13.12.39,0.006750,0,usecols
77,2004.02.14.13.52.39,0.006156,0,usecols
78,2004.02.14.14.32.39,0.006455,0,usecols
79,2004.02.14.15.12.39,0.007104,0,usecols
80,2004.02.14.15.52.39,0.007880,0,usecols
81,2004.02.14.16.32.39,0.006811,0,usecols
82,2004.02.14.17.12.39,0.006521,0,usecols
83,2004.02.14.17.52.39,0.007324,0,usecols
84,2004.02.14.18.32.39,0.006977,0,usecols
85,2004.02.14.19.12.39,0.006420,0,usecols
86,2004.02.14.19.52.39,0.006268,0,usecols
87,2004.02.14.20.32.39,0.006161,0,usecols
88,2004.02.14.21.12.39,0.006667,0,usecols
89,2004.02.14.21.52.39,0.006394,0,usecols
90,2004.02.14.22.32.39,0.006436,0,usecols
91,2004.02.14.23.12.39,0.006365,0,usecols
92,2004.02.14.23.52.39,0.006373,0,usecols
93,2004.02.15.00.32.39,0.006296,0,usecols
94,2004.02.15.01.12.39,0.006439,0,usecols
95,2004.02.15.01.52.39,0.006630,0,usecols
96,2004.02.15.02.32.39,0.006607,0,usecols
97,2004.02.15.03.12.39,0.006571,0,usecols
98,2004.02.15.03.52.39,0.006661,0,usecols
99,2004.02.15.04.32.39,0.006508,0,usecols
100,2004.02.15.05.12.39,0.006527,0,usecols
101,2004.02.15.05.52.39,0.006583,0,usecols
102,2004.02.15.06.32.39,0.006621,0,usecols
103,2004.02.15.07.12.39,0.006731,0,usecols
104,2004.02.15.07.52.39,0.006572,0,usecols
105,2004.02.15.08.32.39,0.006330,0,usecols
106,2004.02.15.09.12.39,0.006508,0,usecols
107,2004.02.15.09.52.39,0.006337,0,usecols
108,2004.02.15.10.32.39,0.006581,0,usecols
109,2004.02.15.11.12.39,0.006626,0,usecols
110,2004.02.15.11.52.39,0.006373,0,usecols
111,2004.02.15.12.32.39,0.006536,0,usecols
